Review,Target
??????? ???? ???????? ??????? ??????? ???? ?? ???? ???????? ?????,1
????? ????? ????? ???? ??? ???? ????? ???????? ??? ?? ??????????? ?????? ??????? ??? ??? ???? ??????? ???? ??? ??? ???? ????? ??? ??? ???????? ???????,0
??? ?????? ??? ??? ??? ???? ?? ????? ???? ??? ?? Rating : 10/02,0
"?????? ???? ????? ?????? ?? ???, ???????? ?????? ???? at least ????? ??????? ???. ???? ??? chicken polaw ?????? ???????, ???????? ????? ???? ???",0
?????? ???????? ????????,1
???????? ????? ?? ???? ?????,0
?????? ????? ?? ????????? ???? ????? ???????? ???? ???? ???????? ????? ?? ??? ???????? ???? ? ?????? ????? ????,0
??? ????? ??? ????? ? ???? ??? ???? ???? ???? ??? ????????????? ????? ???? ?????,1
????? ???? ???? ??? ???? ??????? ??? ???? ????,1
"??????????????, ??? ???? ?????, ???? ???? ????? ???????, ?? ?????? ??????? ??? ??? ??????,",1
"????? ????,, ?? ???????? ?????? ???????? ???? ????? ?????",0
????? ?????? ???? ?? ???,0
"good... ???, ???????? ?????? ?????? ????",1
?????? ?????? ??? ? ??? ? ??,0
????? ???? ????? ???,0
????????,1
????? ??????? ????,0
??????? ??????...?? ?? ??? ??? ??? ??? ????????...,1
??????? ???? ???? ?????? ????? ????? ??? ??? ?????? ???????? ????,0
"??? ?????? ???????? buy 1 get 1, ??"" ??????? ???? ???? ?"" ?????? ?? ??? ??, ??????? ???? ?? ?? ???? ??????? ???? ???, ?"" ??????? ??? ?? ???!!!!?, ?? ??????? ??????? ??? ?????, ????? ??????, ??? ???? ??? ????",0
???? ????? ?????? ??? ???? ?????????,1
???? ????? (???????) ???????,0
Very bad..???? ????? ???,0
???? ?????? ?????? ??? ???? ??,1
??? ?????? ?? ?? ???????????,0
??????? ??????? ???? ??????? ??????? ??? ????,0
"???? ???? ????? ??????, ?? ???? ??? ??? ??? ???? ????? ?????",0
"?????? ????? ???? ????? ??? ???? ???, ????? ??? ???? ?????? ???? ????",0
???? ???? ????,0
????,0
???? ?????,0
???? ?? ???? ?? ???????? ????? ???? ???,0
???? ? ???????? ?????? ????? ???? ??? ??? ????? ????? ?????????,0
??? ????????,1
????? ??? ??????? ??? ?? ??? ???? ??????? ?????? ?????? ????? ????? ?? ?? ??? ??? ??? ???? ??????? ??? ????,1
????? ???????? ?,1
? ???? ????? ??? ??? ???????? ??? ??? ???????,1
"????? ????? ???? ????,???????? ??????? ??? ???? ??,??? ?????? ???? ???? ??? ?? ????",0
????? ?????,0
????? ?? ?????,0
???????? ?? ???? ????? ??????? ?????,0
??,0
" ?????? ?????? ???,??? ??????? ????? ?? ???? ??? ?? ???? ???? ??????? ?? ?????? ???? ??? ???????",0
??????? ??? ????? ?? ???,0
???? ????? ????? ?????,0
????? ?? ?????,0
"???????? ?? ????? ???????? ????? ???? ??????,???? ?? ?? ??????? ???? ???? ???? ?? ???? ??????? ?????? ?? ??????? ?????????? ??? ??????? ??? ???",0
??? ???? ????? ????? ???? ??,0
???? ??? ?????? ????,0
???? ??,0
??????? ???? ?? ??????????? ?? ???? ???,0
????? ??????? ???,0
????? ?????? ???? ?.?? ?? ????? ????? ???? ?.?? ?? ????? ?? ?? ????? ?????? ??? ?????? ?? ???? ??? ? ???? ???????? ???? ??? ?????,0
????????? ?? ???!!,0
?????? ? ????? ?????? ?? ?????? ?????,0
"??????? ??? ???? ???? ??????,??????? ????? ??????? ??,??????? ???? ???? ???? ?? ???,??? ?????,,????? ???? ????? ???? ????? ?????,??? ???? ????,",0
??? ???? ???????? ?????? ???????? ????? ?????? ????????? ?????? ??? ?? ???? ??? ?? ?????? ?????????,0
???? ?????? ???? ??? ? ?????? order ????? ???????? ????? ?????? ???? ???? ?????? ????? ??? ???? ???,0
???????? ????,0
??????? ???????? ?? ????? ???????? ????? ???????? ????? ?? ????????? ?????? ??? ????????? ???????? ????? ???? ????? ?????? ??????? ??????? ????? ???? ????,0
???? ???? ????? ????? ????? ???,1
 ?? ???? ??????? ?????? ???? ????? ??? ???????? ????? ????? ?????,1
 ????? ?? ????? ???????,1
????? ????? ?? ????? ???? ???? ??? ????? ?????? ?????? ?? ??? ??? ??? ???,1
?? ?? ????? ?????? ????????? ?????? ?? ?? ??? ??,0
????? ??? ????????? ?????? ????? ??? ????? ?????? ???? ??? ???? ??? ??????? ??????? ?????? ??? ???????? ??? ???????????? ??????? ???? ???? ?????,0
"?? ???? ????????? ???? ? ??? ?????????? ????? ?? ???????????? ???? ??? ????? ??? ?? ??? ???? ?? ???,?? ???? ??????????? ????? ?? ??? ? ??????????? ???? ????? ???? ????? ??? ??? ????? ????????? ? ???? ???? ??????? ?? ?????",0
????? ??????? ???? ????? ?????? ??????? ????? ?? ????????? ???????? ????? ??? ??????????? ?? ???? ??????? ???? ????? ??? ???? ????? ?????? ???? ????-?? ????? ????? ???? ?????? ???????????? ???? ?????? ??? ???????? ??????? ?????? ??????? ???? ??? WELL TRAINED UP ??? ?????? ???????? ???????? ????????,1
??? ?????,1
?? ????? ???? ???? ??? ???????? ????? ???? ???? ????? ??? ????,0
"?? ????? ?? ?????? ?????????,??????! ??? ???????? ????? ??? ??????? ????? ??? ????? ??? ???? ????? ???",1
????? ?????? ?????? ???? ?? ???? ??? ????? ????? ????,0
???? ??? ???? ???? ???? ????,0
"??????? ???? ???? ?????? ?????? ????????,?????,???????? ?????? ???? ???,?????? ?????? ?? ???? ??? ??????? ???????? ?????????? ????? ????? ???? ?????? ??????? ??? ?????????? ??? ?????+??????????+???????? ????? ?????? ???????? ??????? ?? ???? ??? ?? ???? ????? ??? ????",1
"????? ?????? ?????? ????????, ???? ??? ???? ?????? ??? ?????? ???? ????????! ??? ???????? ?? ????????????? ???? ??, ??? ????? ???? ????? ????? ??????? ????? ?? ??? ??? ????? ??????? ????? ?????????",0
????? ??? ???? ?????? ????????? ???? ???? ???? ! ??????? ????? ???? ?????? ????? ????????? ???? ??? ????? ????,1
??????? ??????? ???????? ????? ?? ???? ???? ???? ????,0
"?????? ??? ???? ??? ?????? ????? ??? ???? ???? ?????, ???? ?????? ???? ??????? ???? ????? ???, ??????? ???? ???",0
"???????? ???? ???? ?? ????? ???? ??????? ?????, ???????? ???? ???? ??????? ?????? ?????? ?????? ????? ??? ???? ?????? ???? ????",1
???? ??? ? ?????? ???? ??? ??? ???????? ??????? ??? ????? ?? ????? ? ?? ???? ???? ?????? ??? ??? ???,0
??? ?? ???????? ?? ????? ???? ????? ???? ????? ?????? ?????????? ???????? ???? ?????? ???? ??????? ??? ????? ?? ????? ??? ???? ?????? ????? ???? ???????? ???? ?????,0
?????????????? ????? ???? ???? ???? ?,1
?? ????? ??? ??? ??? ???? ???? ???? ???? ???????? ????? ?????? ????? ????? ??? ??????,1
????? ???,0
????????,1
"?????, ???? ??? ???? ???? ?????",0
????? ??,1
??? ??? ? ???? ?? ??? ???? ??,0
"????? ????? ??????? ??????, ??? ????? ???????",1
"????? ????? ????? ???, ??? ?????? ???? ????? ??????",0
"????? ??????, ?? ???? ????? ?????",0
????? ?????,0
"?????? ??? ????? ?????? ??, ?????? ?? ?????? ??????",1
?????? ???? ??? ?????? ????? ???,1
"????? ????? ??? ????? ???? ??? ?????? ?? ????? ???????? ?????? ???? ?? ????!!! ?????? ????? ???? ????? ??? ??? ??? ??? ???, ?????? ????????? ???? ????????? ????? ??????",0
?????? ??? ??? ???? ?????? ????? ??? ???,1
"??????? ???? ???? ????? ???, ??? ???? ????? ???",1
??? ????,0
???? ??? ???,0
"?? ????? ?????? ????? ??? ??, ????? ???? ??? ????? ??????????? ???? ?????? ????? ??, ???? ???, ???? ??, ???? ????? ?? ???",0
???? ????? ?? ??? ?????? ?????? ????? ???,1
????? ??? ?? ??? ???,1
"??? ???? ?????, ???? ????? ????? ????",0
????? ?? ????????,0
?????????? ?? ??? ??? ?????? ??????? ?? ???? ??? ????,1
??? ???? ??? ??? ??? ??,0
"?? ???? ????? ????? ????? ?? ?? ????? ?????? ?? ???? ??? ??? ?????, ?? ?? ????? ???? ???? ?????? ???? ????",0
"??? ?????, ??????? ????? ?????? ??",0
??????? ?? ???? ??? ???????? ?? ??? ???? ?????,1
"???? ?? ?? ???? ???, ???????? ???? ??????? ???????",0
"???? ??????, ?????? ??? ??? ??? ??? ???, ??????? ?????? ??? ???? ?????????",1
"??????????? ???????? ?? ? ??? ????? ????? ??????, ??? ??? ???? ???? ?????? ???? ?????",0
"????? ???? ???, ?????????? ??? ??????? ??????? ??? ??? ???",1
"???? ????? ????????? ?????? ????????, ???????? ????? ????, ?????? ???? ??? ???",0
???? ??? ??? ??????????? ???????? ??,0
"?????? ?????? ???? ??? ???, ????? ?? ??? ???",1
"????, ?? ???? ??? ?????? ???? ??",0
?????? ????? ????? ???????? ?????? ???? ??? ?? ?????,0
"?? ????? ?????? ?? ?? ?????, ?? ??????? ???? ??? ?????",1
"???????? ?? ?? ???? ?? ?? ???? ???????? ???? ??? ??, ?? ??? ??? ?? ????? ?????? ??? ??",0
??? ?????? ?? ?? ??? ???? ?????? ?????? ?? ??? ????? ??? ???,1
????? ????? ???? ????,0
????? ?????? ?? ?? ????? ???? ??? ???,1
????? ???? ?? ???? ????? ????? ?? ????,0
?????? ???? ????? ???? ????????? ????? ????,0
"????? ?? ??? ???, ???? ???",1
"?? ????? ??????????? ???????? ????? ??? ??, ????? ?????? ????",0
"???? ?????? ????? ???? ??? ??, ?????? ??????",0
????? ?? ????? ??? ?? ?????? ???? ???? ????,0
??? ??? ????? ???? ????? ???????? ??????,0
"??? ?????? ?? ??? ??? ??, ??? ??? ??? ?? ???? ??",0
??? ?? ?????? ?????? ????? ???,1
???????? ???? ?? ??? ????? ?????? ?????,1
???? ????? ??????????? ?????? ???? ?????,0
"?? ???? ???! ??????? ?? ?????? ??? ????, ???? ???? ???",0
????? ?? ??? ???,1
"????? ?????, ????, ??????? ?????? ?????? ????",0
"????, ????? ??",1
????? ??? ????? ?????? ?????? ?????????? ??? ???,1
"????? ?? ??? ???, ?????? ????? ???",1
"????? ?????, ???? ????? ????",0
"????? ???? ??? ?????? ??????? ?????? ???? ???? ???? ???, ??? ??? ????????",1
???? ???? ??? ????? ????,0
????? ??? ?????? ?????? ?????????? ??,1
???? ??? ??? ?????????,1
?????? ???????? ?? ???,1
"????? ???? ???, ??????? ?????? ??",0
"???? ????? ???? ????? ????????? ??? ?? ??????? ???? ???? ?????, ??? ???? ???? ??????",0
????? ????? ?? ??? ?????,1
??? ???,1
"??? ???, ????? ?? ???? ??? ????? ?????",1
????????? ???????? ???? ??? ????? ?????? ??? ?? ?? ??????,1
????? ?? ??? ?????? ????? ?? ???,1
"????? ?? ???? ????? ???, ??????",0
?? ??????? ?? ???? ?????? ??! ???? ??? ????? ???? ?? ???? ??? ??? ???,0
???? ?? ????? ??? ?? ????? ????????? ???????,1
"???? ????? ??? ????? ??, ??? ? ??? ???? ?????? ???? ?? ??????",0
"?????? ????? ?????? ?????, ??? ??? ??????",0
??????? ????? ??? ??? ??? ???? ????,0
??????? ??? ???,1
??? ??? ??????? ???? ??????? ???????,0
"????? ?????, ??????? ???? ????? ?? ?? ??? ??? ?????? ????",0
???? ?????? ?????? ????? ?????? ??? ?????? ??????? ??? ????? ???,1
"????? ??????, ??? ????? ?? ???, ?????? ??? ???",0
"???????? ?????? ???, ??? ???? ???? ????, ????? ???",0
"????? ?????? ?????? ?????, ?????? ???? ?????? ??????? ????? ??? ???",1
??? ?????? ????? ?? ???? ???,1
"???? ??? ????? ?????? ?????, ??? ????? ???? ????? ???? ?? ??? ??? ???? ????",1
????? ???? ???,0
????? ????? ???? ???-???? ??????? ????? ??? ???,1
"?????? ????? ??????, ?????? ?????",0
????? ????? ?? ??? ???,1
???? ?? ??? ??? ?????? ????? ?? ?????? ??? ??? ????? ???,1
"?????? ??? ??? ?? ??? ?????? ???, ???????? ??? ??? ?? ??????",1
??????? ?????? ???? ?? ???,0
??? ??? ??? ???? ??? ???? ??? ???,1
"??? ???????? ?????? ????????, ??? ?? ???? ???? ???????? ??????",0
"????? ?????? ???, ??? ?? ???? ?????? ??, ???? ????? ???? ??? ???",0
"???????? ???, ?????? ???? ???? ??? ?? ?????? ??? ??? ?? ???? ??????????",1
?????? ???? ???,0
"??? ?????? ???? ???? ??? ?????, ?????? ?? ???? ?????? ???? ????",1
"???????? ?? ??? ???, ?? ??? ????, ??? ??????? ??? ???? ?????, ?????,",0
???? ???? ?????,0
????? ???? ??? ??? ?????? ?????? ???? ??? ????? ???? ??? ???,1
?? ????,0
"????? ??, ????? ??? ????? ?????",1
"???? ??? ??? ??? ????? ??? ??? ????, ?????? ??? ?? ?????? ???",1
???? ???? ??????,1
"???? ?????, ?????? ???? ?????? ??? ?? ?????? ???? ???",0
???? ???? ???? ??????? ?????? ?????? ???? ???? ????? ???????? ???? ???????? ??? ?????? ???? ??,1
???? ???? ???? ??? ??? ?????? ????? ??? ???,1
"???? ????, ?? ??? ?? ???? ????? ????? ???? ???",0
"?????? ???? ?????, ???? ???? ????",0
"?? ???? ????? ????? ??? ???, ??????????? ?? ?????? ??? ?????? ????? ??",0
"????? ???? ????? ???, ???? ????? ?????? ??? ?? ???????",0
??????? ????? ???????? ?? ??? ???,1
??? ??? ???? ?????? ?? ??? ???,0
"???? ??????, ???? ??? ?????? ??, ????? ?? ??? ?????? ???????????? ???? ??? ?????? ??? ?? ???? ???????",0
"???????????? ????? ???? ???? ?????? ???, ???? ?????",1
"????? ????? ????? ?????????, ??? ???",0
?????? ???????? ??? ???,1
?? ??? ??? ???,1
???? ?????? ?? ??? ??? ??? ???? ??? ????,0
"?????? ??? ???? ???, ?????? ???????? ??? ??? ???? ???? ???",1
?? ???? ???????? ???? ????? ????? ????? ????????,1
??? ?????? ?????????? ?? ??? ?????? ???? ?? ???? ???? ??? ???,1
???????? ????,0
??? ??? ?? ???? ??????????? ??? ????,0
"????? ??? ???, ?????? ???? ??????? ?? ????? ??? ??",0
"??? ????, ??? ????? ?? ???? ??? ?? ?? ??? ??? ???",1
"???? ?????, ??? ??? ?????? ????? ????? ???? ???????",0
?????? ???? ?????,0
"?????? ????, ?????, ??????????",0
???????? ???? ?????? ?????? ?????? ????? ?? ??????? ???? ??? ??? ?????,1
"??? ?????? ??? ?????????, ??? ???",1
???? ???? ???,0
??? ????????,1
"???? ????, ????? ??? ??????? ??? ???? ????? ?? ???? ??????? ?? ????? ????????? ???? ???",0
"????? ??? ??? ??, ??? ??? ????????",0
???? ???????? ?? ?????,1
"?????????? ???? ?? ???, ????? ???",1
"???? ????? ???? ????, ????? ????? ???? ?? ?? ??????????? ???? ????? ???? ????",0
"????? ????? ??? ??????? ???, ??? ??????? ???? ?? ??",0
"??? ??? ????? ??? ?????? ??????? ?????, ?? ??? ????????????? ????? ?? ???? ??? ????? ???? ??",0
"???????? ?? ??? ??? ??, ????? ???? ??? ???",0
??? ??? ????? ????? ??,0
?? ???? ????? ??????? ??? ?? ???? ????? ????? ???? ????? ???? ??? ??,0
????? ???? ???? ??? ??? ???? ????? ???????,1
"????? ??? ??, ???? ?? ???????? ??????",1
"????? ??? ???? ????? ????? ??????? ??? ????? ????, ????? ??? ??? ??????",0
???? ????? ?? ????? ??? ? ????,0
"????? ?????, ?? ?? ????????? ???? ?????? ??????",0
"???? ????? ?????????????, ??????? ?????? ??? ????, ????? ??????? ????? ???? ????? ??? ??",0
?? ???? ???? ???? ?? ????? ???? ??? ???,1
????????? ???? ???,1
???? ?? ??????? ???? ???? ?????? ????? ??? ???? ??? ????! ???? ????,0
??? ??? ??? ??? ???,1
??????? ??? ?????? ???? ???????? ?????? ???? ?????? ???????,0
???? ???? ??? ?? ???? ?? ????? ???? ???? ??? ???,0
?????? ???????? ?? ???????? ??????,1
??? ??? ?????? ?????? ????? ?????,1
?????? ?? ???? ????? ???? ?????!???? ??? ?? ??? ????? ???,0
"???? ???? ????????????? ????, ??? ?????? ?? ???? ????? ??? ??",0
????? ?????,0
?????? ?? ??? ???,1
"??????? ????? ?? ??? ???, ???? ?????? ???",1
"??????? ??? ???? ?? ??? ???, ????????? ????? ???, ??? ???? ???? ??? ???? ?????? ??? ???",1
??????? ?? ??? ????,1
"???? ??? ??, ?????? ?? ????",0
???? ???? ??????,1
???? ??? ??,0
"????? ?????, ??? ??? ????",0
"??????????????, ?????",1
????????? ??? ?????? ????????? ????? ???,1
??? ?????? ???? ???? ??? ????,1
"???? ???????? ?? ?????, ?? ???????? ????? ??????? ??? ??",0
"??? ???? ????? ???, ???? ????? ?????? ??? ??",0
???? ????,0
"???? ????????, ??? ?????????? ? ??? ??? ????, ????? ??? ?? ????? ??",0
"??? ?????, ??? ??? ?????, ??? ????? ??? ??",0
"??? ????? ????????? ????? ???? , ????????? ? ???? ???",0
"????? ????? ??? ????? ????? ??? ???? ?? ?????? ??? ??? ?? ?????, ???? ????",0
"?????? ??? ?? ???? ???, ???????? ???? ??? ??? ??",0
"????? ?????? ??? ??, ????? ??? ???, ?????? ??? ??? ??? ????",0
?????? ???????? ?? ?????? ?????? ??????,1
"????? ?? ??? ??? ???, ????? ????????, ???? ??? ?????",1
???????? ?? ?? ???? ??? ???? ???,1
"???? ???? ???, ?????? ?? ????",0
????? ??? ???? ???,0
???????? ?? ??? ??????,1
"????? ???? ?????? ???? ??? ???, ???? ???? ???? ????? ????? ???? ???",1
"??? ???, ???? ????",1
"??????? ???? ?? ?????? ?? ??? ??? ???, ????? ???????? ??",1
???? ???? ???,0
"???? ?????, ?????????? ???? ??",0
"???? ???? ????, ????? ????? ????? ??",0
????? ???? ??? ???? ???;,0
"????? ??? ????? ?????? ????? , ?????????? ??? ??? ???",1
??? ????? ???? ???????? ?????? ?????? ??? ?? ??? ????? ???? ???? ????,0
"?????? ????? ????? ????? ?????? ??????, ??? ??????? ?????? ???? ????? ???? ????? ??? ???? ??????? ?????? ????????, ???? ???? ????? ???? ??? ????? ????? ????! ??? ?? ??? ???? ?????? ?? ???? ????? ??????? ????? ????? ?????? ?*",0
"???? ???? ??, ????? ??? ?????? ???? ????? ???? ???? ???",0
???? ???? ????? ????? ????? ??? ?????? ??? ?????????? ???,0
????? ???????? ??? ??????? ??????? ???? ???? ???? ??? ????? ???? ????? ??????????? ?????? ?????? ???? ????? ???????? ???? ????? ?? ?????? ??????? ??????? ?????? ?????? ???? ???? ?????? ??? ???? ?????? ? ???? ???????? ?? ?? ?????? ??? ???? ???? ??? ????,0
?????? ????? ??? ??????? ???? ????? ??????? ????? ???? ?????? ??,0
"?????? ????? ?????? ??? ???? ????. Specialy ????? ????? ?? ??? ???? ????? ???? ?????, ????, ??? ???? ?????",1
?? ???? ???????? ?? ? ?????? ????????????? ????? ????? ????? ??? ????? ????? ????? ???? ???,0
??? ????? ????? ????? ???? ?????? ??? ?????? ????? ????? ????? ???? ????? ???? ???? ?????? ???? ???? ????? ???? ????? ???? ?? ? ???? ????? ???? ???? ?? ????? ????? ?? ??? ???? ?????,0
"??????? ????? ???? ??? ??? ????, ?????? ??? ??????? ????? ??? ?????? ??? ?????????? ??? ???? ????????, ?????? ????? ??? ??? ???? ????? ??? ????????? ????? ????? ??????",0
????? ??? ????? ?? ?????? ???? ???? ??? ????? ?? ????,0
?? ???? ????? ???? ??????,0
??? ?? ??? ?? ?? ??? ??????? ?????? ???? ?? ???? ???? ?????,1
????? ???? ???? ??? ?????? ??? ?????? ?????????? ????? ?????? ????? ?????? ?????? ?????? ???? ?,1
????? ?????? ???? ????? ???? ???? ??? ????? ???????? ????????? ????? ??? ??? ??????? ??? ??????,0
????? ?????? ?????? ??? ????? ???,0
???? ??? ???? ??? ????,0
???? ?? ???? ????? ????? ????? ???,0
?????? ???? ????? ?? ???? ????? ??????,0
???? ???? :),0
?? ????? ???? ??? ?????? ???????? ?? ???? ????? ??? ???????? ???? ??? ????,1
???? ????? ?? ???? ??? ???? ???? ???? ??? ??????? ????? ? ????? ???? ???????,0
"????? ??? ??? ???, ???? ???? ??? ????",0
???? ????? ??????? ?????? ???? ???????,0
????? ??? ?????? ??? ????????? ??? ??????? ???? ????? ????? ?????????? ??? ?????? ??? ????? ?? ??? ??? ??????? ??? ???? ???/= ???? ????? ???? ???? ???? ??? ??????? ??? ????,0
?? ???? ???????? ?? ?????? ?????? ???? ???????? ?????,0
"???????? ???/??? ??? ??? ?????? ?????????, ???? ???? ???????? ????????? ??????? ???? ??????, ????? ??? ??? ???? ??????",0
"??????? ?????? ????? ???? ???, ?? ?? ??? ??? ???? ?? ?????? ?????, ??? ?????? ???? ?????? ???????? ??? ??? ???? ???? ????? ????",0
"??????? ????, ????? ?????? ??? ??? ????? ???? ???? ?????? ?? ??????? ?????????? ???? ???? ?/??",0
"?????? ?? ??? ????? ????? ????? ?? ??? ????? ??? ??? ??? ??? ??????????? ??? ??? ???? ??? ????,???? ???? ???,?? ??? ?????? ??? ???? ?????? ???? ?????? ????? ??????? ????????",1
??????? ???? ???? ???? ???? ?????? ??? ???? ????? ????? ???? ???? ?????? ????? ???????? ?? ?????? ???? ??,0
????? ?????????? ????? ???? ???,0
???? ???? ???? ????? ????? ,1
???? ???? ????? ??? ????? ???? ????? ,1
???????? ?? ??? ?????? ???? ?????? ??? ?????? ??? ???? ????? ???? ?????? ??????? ?? ??????? ???? ??? ????,0
??? ???? ????? ??? ??? ??? ?????? ??? ???? ??:??: ?? ???? ???? ????? ?????? ???? ???,0
?????? ????? ?????? ???? ??? ?? ,1
??????? ?? ???,1
???? ???? ??? ????? ???? ????? ?? ??? ???? ??? ?????? ?? ?? ???? ???? ??? ???? ???????? ???,0
"???? ????? ?????, ??? ???? ?????? ????????,?????? ??? ????? ????",0
??????? ??? ????? ????? ????? ????????? ????? ???? ???? ??? ???? ????? ?? ???????????? ???? ????? ?????? ????? ????,0
????? ??????? ???? ??? ???? ?????,0
???? ???? ?????? ??? ?? ????? ??? ????? ??? ?????? ???? ????? ?????? ????? ??? ?????? ????????,0
??? ??????? ????? ??? ????,1
????? ??????? ????? ??? ???? ???? ???? ???? ???? ????? ????????,0
????? ?? ????? ????? ??? ????? ,1
???? ????? ???? ???????? ??? ???? ??? ???? ????,1
???????? ?????? ????? ???? ???? ??????? ???? ????? ??????? ????? ??????? ??????? ??? ???? ?? ???? ??? ??? ????,0
"?????? ?? ??? ??? ????? ???,????????? ????,??????? ?? ???????? ???? ??",0
??????? ???? ??? ???? ?????? ????,0
????? ???? ???? ???? ,1
?????? ?? ?????? ???? ???? ,1
????? ??? ????? ???????,1
?????? ???? ?????,1
????? ???????? ???? ?????? ?????? ?????? ???? ?? ??? ??? ?????? ??? ????? ??? ??? ??? ???? ?????? ???? ??? ???????,0
?????? ??? ????? ??? ???? ???? ?????? ?????? ????? ???? ??? ??????? ???? ??? ???? ????? ??? ?? ????????? ??????,0
??? ????? ????? ??? ???? ????? ????? ?????? ???? ?????,0
???? ????? ??? ???? ??????,0
????? ???? ???? ??? ???? ?????? ??? ????? ???? ??????,1
??? ?????? ????? ?? ,1
"????? ??????? ?????? ????? ?? , ????? ",1
?? ????? ?????? ??? ??? ?? ???? ,0
???????? ???? ??????? ?????? ??????? ??? ???? ????? ????? ????? ????? ???? ????? ??? ?????? ??????,1
????? ??????? ?????? ????????????? ????? ????? ????? ???? ??? ??? ??? ????? ????? ??????,0
"????? ?????, ?????? ??? ?????? ??? ?????  ??? ????? ????? ???? ???????? ???? ?? ??, ??? ???? ?????? ???? ???? ???? ????? ??? ????? ?????? ?? ?????? ??? ?????? ??? ????? ?? ???? ?????? ???? ???",0
??????? ?????,1
???? ???? ??? ???? ???? ??? ?????? ??? ????? ???? ???? ??? ??????? ???? ????,0
"??? ???? ??????? ?????? ????????, ???? ???? ????? ???? ??? ????? ????? ????!",0
???? ???? ????? ????? ????? ??? ?????? ??? ?????????? ???,0
???? ????????  ???? ???? ????? ????? ,1
"?? ??? ???? ?? ??? ????? ?????? ??????, @???? ???",0
"????? ???? ?????? ???? ??????? ???, ????? ???? ??????",0
????? ?????????! ??? ?????? ????? ????? ???? ?? ???? ????? ??????? ???????? ???! ???????? ??? ?????? ????? ??????? ?? ???? ?????? ??? ?????? ????? ??? ?????! ?????!,0
????? ???? ??????,1
"???? ??? ? ??? ?????, ??????? ??? ??? ???..???????? ????? ?? ???????? ? ??? ???? ??? ??????????????",1
??????? ??? ???? ??? ?????? ??,1
????? ???? ???? ??????? ???? ???? ??? ?? ?????? ??? ????? ??? ??? ????? ??? ????? ????,1
?????? ??? ???????? ??? ??? ????? ?? ????? ???? ???? ???????? ????????,0
???? ??? ????? ??? ??? ????????? ?????? ?? ??? ????????? ??? ?????,0
????? ???? ?????? ??????? ?????? ?????,1
??? ??? ????? ????? ?? ????? ???? ?????? ,0
?????? ???????? ???? ???,0
????? ?? ????? ???? ?? ???? ??? ?????? ,0
"????? ?????? ????? ????, ???? ?????? ? ?? ,????????  ???? ? ",0
????? ?? ??? ???? ??? ??? ???? ??????????? ??????? ????? ??? ????? ???? ???? ???? ???? ??? ??? ???,1
?????? ????? ??????? ????? ???? ???? ???????? ???? ,0
?? ????? ????? ?? ????? ? ????? ?????? ???? ?????? ???? ???? ????,1
??? ?????? ??? ??????? ???? ??????? ??? ????? ??????? ?????? ??? ?? ?? ?? ???????? ???? ???? ???? ?????? ??,0
"??? ??  ???? ??? ?? ??? ??? ???? ????? ,????? ????????? ",0
"??? ??? ?????? ????? ?????? ???? ??? ??, ???? ?????????? ??? ???? ",1
??? ???? ????? ??? ?????? ???????,1
??????? ???? ????? ???? ???? ?????,1
"??? ???? ?????? ?????????? ????? ?? ??? ???? , ?????? ?????? ??? , ??? ??? ??? ?????? ????? ?? ??? ??? ????? ,?????? 250 ???? 210 ???? ???? ???",1
????? ???? ??? ??? ????? ????? ?????,0
???????? ?? ?????? ???? ?? ????????? ?? ??? ???? ????? ,1
???? ??? ????? ,1
??? ????  ????? ???? ??? ??????? ????? ??? ,1
"??????? ???? ?????? ???? ,???? ????????? ",1
???? ???? ????? ??? ????? ???????,0
???? ??????? ??????????? ????? ???? ????? ???? ????!!!!,1
"??? ??????? ??????? ??????? ??? ???? ????? ????? ?????? ??????, ??????",1
"?????? ?????? ?????? ??? ???? ????, ???? ?? ???? ? ???? ????? ?????? ?????? ??? ??? ??? ???? ?????? ??? ???? ?? ???????????",1
?????? ???? ???? ?? ???,1
??? ?????? ?? ????? ????? ?????? ????? ?? ??? ??? ????? ????? ???????? ??? ?? ??????? ?????? ??? ???,0
????? ?????? ???? ???? ????? ???? ???? ???????????,0
????? ?? ????? ???? ??????? ????? ??? ??? ?? ???? ??? ????? ???????? ??????? ?????? ??????? ???? ??,0
???? ???? ???? ??? ???? ,0
"?????? ????? ????? ?????? ??????? ????? ?????? ???? ??????? ??????? , ??? ??????? ???? ???? ???? ????? ???",0
"????? ???? ????? ?????? ??????????, ???? ?????? ????? ???? ??????? ??????? ??? ?????? ????? ??? ???? ???, ????? ???? ??, ????????? ???????? ???? ?? ? ???? ???? ??? ???????????????",0
???? ???? ??? ?? ???? ????? ???? ???? . ??????? ??????? ??? ???? ????. ????? ??? ???? ?? ????? ??????? ???.,0
?? ???? ??? ????????? ?? ??? ???? ,1
"??? ??? ?????? ??????, ???? ??????? ??????? ? ???? ????",0
??? ????? ?? ????? ?????? ??????? ??? ?????? ??? ???? ????,1
???????? ????? ???? ???? ??? ????? ???????? ????? ???? ?????? ???? ?????,1
??? ??????? ?????? ???? ???? ,1
"????????? ""?? ??? ??"" ? ????? ?????? ??????, ???????, ????? ????? ??? & ?????",1
????? ???? ???? ???,1
???? ???? ???? ???? ?????? ??? ??? ?????? ????? ???? ????? ??? ???? ?????? ?????? ???? ????,0
??? ????? ? ???? ???? ??? ????? ?????? ?????? ?????,0
?????? ???? ?? ????,0
